Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
bookkeeper,1,RandomForest,No,No,No,44.44444444444444,0.48333333333333334,0.6444444444444445,0.7533333333333333,0.415819209039548,29.0,31.0,144.0,16.0
bookkeeper,1,NaiveBayes,No,No,No,44.44444444444444,0.2,0.9555555555555556,0.454984126984127,-0.011360634081902257,43.0,172.0,3.0,2.0
bookkeeper,1,IBk,No,No,No,44.44444444444444,0.32075471698113206,0.37777777777777777,0.594920634920635,0.16140559857057768,17.0,36.0,139.0,28.0
bookkeeper,1,RandomForest,Yes,No,No,44.44444444444444,0.36585365853658536,0.6666666666666666,0.714920634920635,0.28307392996108954,30.0,52.0,123.0,15.0
bookkeeper,1,NaiveBayes,Yes,No,No,44.44444444444444,0.18009478672985782,0.8444444444444444,0.4803809523809524,-0.06080900080364318,38.0,173.0,2.0,7.0
bookkeeper,1,IBk,Yes,No,No,44.44444444444444,0.275,0.4888888888888889,0.5958095238095238,0.12216748768472908,22.0,58.0,117.0,23.0
bookkeeper,1,RandomForest,Yes,SMOTE,No,52.17391304347826,0.31,0.6888888888888889,0.7373968253968254,0.2026200873362445,31.0,69.0,106.0,14.0
bookkeeper,1,NaiveBayes,Yes,SMOTE,No,52.17391304347826,0.19907407407407407,0.9555555555555556,0.5120634920634921,-0.013691416535018406,43.0,173.0,2.0,2.0
bookkeeper,1,IBk,Yes,SMOTE,No,52.17391304347826,0.19791666666666666,0.4222222222222222,0.5083809523809524,-0.01251117068811425,19.0,77.0,98.0,26.0
bookkeeper,1,RandomForest,Yes,UnderSampling,No,44.44444444444444,0.28205128205128205,0.7333333333333333,0.7094603174603175,0.15890083632019109,33.0,84.0,91.0,12.0
bookkeeper,1,NaiveBayes,Yes,UnderSampling,No,44.44444444444444,0.5333333333333333,0.5333333333333333,0.7457777777777778,0.4133333333333334,24.0,21.0,154.0,21.0
bookkeeper,1,IBk,Yes,UnderSampling,No,44.44444444444444,0.2727272727272727,0.7333333333333333,0.6156825396825397,0.14163090128755357,33.0,88.0,87.0,12.0
bookkeeper,1,RandomForest,Yes,No,Yes,44.44444444444444,0.2233502538071066,0.9777777777777777,0.7295873015873016,0.04590256265840605,44.0,153.0,22.0,1.0
bookkeeper,1,NaiveBayes,Yes,No,Yes,44.44444444444444,0.2018348623853211,0.9777777777777777,0.4803809523809524,-0.006799163179916288,44.0,174.0,1.0,1.0
bookkeeper,1,IBk,Yes,No,Yes,44.44444444444444,0.275,0.4888888888888889,0.5958095238095238,0.12216748768472908,22.0,58.0,117.0,23.0
bookkeeper,2,RandomForest,No,No,No,56.011315417256014,0.012987012987012988,1.0,0.9129032258064517,0.019415864586790618,1.0,76.0,234.0,0.0
bookkeeper,2,NaiveBayes,No,No,No,56.011315417256014,0.0033222591362126247,1.0,0.9129032258064517,2.1431633090441437E-4,1.0,300.0,10.0,0.0
bookkeeper,2,IBk,No,No,No,56.011315417256014,0.0125,1.0,0.882258064516129,0.018457113179657206,1.0,79.0,231.0,0.0
bookkeeper,2,RandomForest,Yes,No,No,56.011315417256014,0.013157894736842105,1.0,0.8983870967741936,0.019752048749737107,1.0,75.0,235.0,0.0
bookkeeper,2,NaiveBayes,Yes,No,No,56.011315417256014,0.009708737864077669,1.0,0.864516129032258,0.01294417823137692,1.0,102.0,208.0,0.0
bookkeeper,2,IBk,Yes,No,No,56.011315417256014,0.010638297872340425,1.0,0.8596774193548387,0.014783526927138198,1.0,93.0,217.0,0.0
bookkeeper,2,RandomForest,Yes,SMOTE,No,61.88725490196079,0.012048192771084338,1.0,0.964516129032258,0.017566838739502197,1.0,82.0,228.0,0.0
bookkeeper,2,NaiveBayes,Yes,SMOTE,No,61.88725490196079,0.01098901098901099,1.0,0.9161290322580645,0.01547660921561722,1.0,90.0,220.0,0.0
bookkeeper,2,IBk,Yes,SMOTE,No,61.88725490196079,0.012195121951219513,1.0,0.8758064516129033,0.01785644664509346,1.0,81.0,229.0,0.0
bookkeeper,2,RandomForest,Yes,UnderSampling,No,56.011315417256014,0.008620689655172414,1.0,0.9451612903225807,0.010786889780113475,1.0,115.0,195.0,0.0
bookkeeper,2,NaiveBayes,Yes,UnderSampling,No,56.011315417256014,0.0032679738562091504,1.0,0.8709677419354839,1.0541295525220377E-4,1.0,305.0,5.0,0.0
bookkeeper,2,IBk,Yes,UnderSampling,No,56.011315417256014,0.007194244604316547,1.0,0.7935483870967742,0.007951551014747229,1.0,138.0,172.0,0.0
bookkeeper,2,RandomForest,Yes,No,Yes,56.011315417256014,0.0070921985815602835,1.0,0.9290322580645162,0.007748404740200481,1.0,140.0,170.0,0.0
bookkeeper,2,NaiveBayes,Yes,No,Yes,56.011315417256014,0.003246753246753247,1.0,0.864516129032258,6.28384110260467E-5,1.0,307.0,3.0,0.0
bookkeeper,2,IBk,Yes,No,Yes,56.011315417256014,0.010638297872340425,1.0,0.8596774193548387,0.014783526927138198,1.0,93.0,217.0,0.0
bookkeeper,3,RandomForest,No,No,No,66.44736842105263,0.13333333333333333,0.07142857142857142,0.7179222752930959,0.0405209840810429,2.0,13.0,316.0,26.0
bookkeeper,3,NaiveBayes,No,No,No,66.44736842105263,0.07917888563049853,0.9642857142857143,0.6396005210594876,0.0016158100801690412,27.0,314.0,15.0,1.0
bookkeeper,3,IBk,No,No,No,66.44736842105263,0.12121212121212122,0.14285714285714285,0.6779743812418585,0.05057955742887236,4.0,29.0,300.0,24.0
bookkeeper,3,RandomForest,Yes,No,No,66.44736842105263,0.3,0.21428571428571427,0.7687798523664785,0.1975524475524476,6.0,14.0,315.0,22.0
bookkeeper,3,NaiveBayes,Yes,No,No,66.44736842105263,0.26666666666666666,0.14285714285714285,0.6114850195397308,0.13892908827785871,4.0,11.0,318.0,24.0
bookkeeper,3,IBk,Yes,No,No,66.44736842105263,0.2391304347826087,0.39285714285714285,0.7423469387755102,0.22137404580152667,11.0,35.0,294.0,17.0
bookkeeper,3,RandomForest,Yes,SMOTE,No,69.59114139693357,0.2702702702702703,0.35714285714285715,0.765740338688667,0.23981450811526972,10.0,27.0,302.0,18.0
bookkeeper,3,NaiveBayes,Yes,SMOTE,No,69.59114139693357,0.2857142857142857,0.14285714285714285,0.5828810247503257,0.14581280788177312,4.0,10.0,319.0,24.0
bookkeeper,3,IBk,Yes,SMOTE,No,69.59114139693357,0.25,0.39285714285714285,0.7524967433782024,0.2319277108433736,11.0,33.0,296.0,17.0
bookkeeper,3,RandomForest,Yes,UnderSampling,No,66.44736842105263,0.13978494623655913,0.4642857142857143,0.7364307425097699,0.10724156992813691,13.0,80.0,249.0,15.0
bookkeeper,3,NaiveBayes,Yes,UnderSampling,No,66.44736842105263,0.2962962962962963,0.5714285714285714,0.8378745115067303,0.32000000000000034,16.0,38.0,291.0,12.0
bookkeeper,3,IBk,Yes,UnderSampling,No,66.44736842105263,0.14678899082568808,0.5714285714285714,0.6672818063395571,0.12428454619787417,16.0,93.0,236.0,12.0
bookkeeper,3,RandomForest,Yes,No,Yes,66.44736842105263,0.15384615384615385,0.2857142857142857,0.7501628310898828,0.10917030567685551,8.0,44.0,285.0,20.0
bookkeeper,3,NaiveBayes,Yes,No,Yes,66.44736842105263,0.06725146198830409,0.8214285714285714,0.6114850195397308,-0.024172554853105238,23.0,319.0,10.0,5.0
bookkeeper,3,IBk,Yes,No,Yes,66.44736842105263,0.21153846153846154,0.39285714285714285,0.7423469387755102,0.19268558951965054,11.0,41.0,288.0,17.0
bookkeeper,4,RandomForest,No,No,No,73.83761276891047,0.10344827586206896,0.23076923076923078,0.8541842772612004,0.10000000000000073,3.0,26.0,338.0,10.0
bookkeeper,4,NaiveBayes,No,No,No,73.83761276891047,0.035422343324250684,1.0,0.9241335587489433,0.001944390433599069,13.0,354.0,10.0,0.0
bookkeeper,4,IBk,No,No,No,73.83761276891047,0.05714285714285714,0.15384615384615385,0.7178782755705833,0.03479576399394862,2.0,33.0,331.0,11.0
bookkeeper,4,RandomForest,Yes,No,No,73.83761276891047,0.25,0.3076923076923077,0.7547548605240912,0.24721878862793606,4.0,12.0,352.0,9.0
bookkeeper,4,NaiveBayes,Yes,No,No,73.83761276891047,0.0,0.0,0.7309805579036348,-0.009280742459397497,0.0,2.0,362.0,13.0
bookkeeper,4,IBk,Yes,No,No,73.83761276891047,0.1,0.23076923076923078,0.7004437869822485,0.09604043807919087,3.0,27.0,337.0,10.0
bookkeeper,4,RandomForest,Yes,SMOTE,No,76.12412919569347,0.10344827586206896,0.23076923076923078,0.8083262890955198,0.10000000000000073,3.0,26.0,338.0,10.0
bookkeeper,4,NaiveBayes,Yes,SMOTE,No,76.12412919569347,0.2631578947368421,0.38461538461538464,0.9137785291631445,0.2831460674157313,5.0,14.0,350.0,8.0
bookkeeper,4,IBk,Yes,SMOTE,No,76.12412919569347,0.11428571428571428,0.3076923076923077,0.75,0.12254160363086213,4.0,31.0,333.0,9.0
bookkeeper,4,RandomForest,Yes,UnderSampling,No,73.83761276891047,0.10309278350515463,0.7692307692307693,0.819737954353339,0.12883845126835772,10.0,87.0,277.0,3.0
bookkeeper,4,NaiveBayes,Yes,UnderSampling,No,73.83761276891047,0.033426183844011144,0.9230769230769231,0.6767751479289941,-0.0021847070506454775,12.0,347.0,17.0,1.0
bookkeeper,4,IBk,Yes,UnderSampling,No,73.83761276891047,0.0782608695652174,0.6923076923076923,0.7187235841081995,0.08385985066054008,9.0,106.0,258.0,4.0
bookkeeper,4,RandomForest,Yes,No,Yes,73.83761276891047,0.0847457627118644,0.38461538461538464,0.7999788672865596,0.08730964467005103,5.0,54.0,310.0,8.0
bookkeeper,4,NaiveBayes,Yes,No,Yes,73.83761276891047,0.033426183844011144,0.9230769230769231,0.7309805579036348,-0.0021847070506454775,12.0,347.0,17.0,1.0
bookkeeper,4,IBk,Yes,No,Yes,73.83761276891047,0.06976744186046512,0.23076923076923078,0.7004437869822485,0.05721716514954552,3.0,40.0,324.0,10.0
